BECN1,PTHR12768:SF6,PTHR12768
PDE5A,PTHR11347:SF20,PTHR11347
PPP3CC,PTHR45673:SF2,PTHR45673
NUDT5,PTHR11839:SF24,PTHR11839
GFRA1,PTHR10269:SF3,PTHR10269
TECRL,PTHR10556:SF27,PTHR10556
SMC2,PTHR43941:SF1,PTHR43941
GYS2,PTHR10176:SF1,PTHR10176
DDX43,PTHR47958:SF17,PTHR47958
OOSP1,PTHR14380:SF3,PTHR14380
PDCD6IP,PTHR23030:SF39,PTHR23030
CTNNBIP1,PTHR47142:SF1,PTHR47142
TMEM81,PTHR35670:SF1,PTHR35670
SLC7A1,PTHR43243:SF28,PTHR43243
GSTO1,PTHR43968:SF5,PTHR43968
INHBC,PTHR11848:SF130,PTHR11848
SYCE1L,PTHR21731:SF1,PTHR21731
IPO8,PTHR10997:SF26,PTHR10997
IGKV1D-16,PTHR23267:SF460,PTHR23267
KRTAP10-12,PTHR23262:SF233,PTHR23262
PARD6A,PTHR14102:SF9,PTHR14102
FKBP6,PTHR46674:SF1,PTHR46674
TBX5,PTHR11267:SF28,PTHR11267
APOBEC3B,PTHR13857:SF39,PTHR13857
SMCO3,PTHR35972:SF1,PTHR35972
NAT10,PTHR10925:SF5,PTHR10925
OR2M4,PTHR26453:SF91,PTHR26453
ANKRD20A12P,PTHR24147:SF62,PTHR24147
CPN2,PTHR24373:SF271,PTHR24373
LILRB4,PTHR11738:SF178,PTHR11738
RTN3,PTHR45799:SF4,PTHR45799
TRAV12-2,PTHR19343:SF3,PTHR19343
NXPH1,PTHR17103:SF13,PTHR17103
MAMDC2,PTHR23282:SF116,PTHR23282
BCKDHA,PTHR43380:SF1,PTHR43380
GAL3ST4,PTHR14647:SF57,PTHR14647
CCDC80,PTHR46792:SF2,PTHR46792
KRT14,PTHR23239:SF368,PTHR23239
RHOD,PTHR24072:SF175,PTHR24072
S100A10,PTHR11639:SF74,PTHR11639
GAL3ST2,PTHR14647:SF55,PTHR14647
RASIP1,PTHR16027:SF4,PTHR16027
NAE1,PTHR10953:SF239,PTHR10953
SESN1,PTHR12474:SF3,PTHR12474
POMT2,PTHR10050:SF46,PTHR10050
C2orf27A,PTHR16471:SF2,PTHR16471
CCDC97,PTHR31840:SF1,PTHR31840
ZNF583,PTHR24377:SF863,PTHR24377
SYNCRIP,PTHR21245:SF11,PTHR21245
IL1RN,PTHR10078:SF28,PTHR10078
CLRN3,PTHR31548:SF3,PTHR31548
RGMB,PTHR31428:SF5,PTHR31428
SOX5,PTHR45789:SF3,PTHR45789
PCARE,PTHR22017:SF0,PTHR22017
ARMC10,PTHR15712:SF19,PTHR15712
RALGAPB,PTHR21344:SF1,PTHR21344
FKBP9,PTHR46046:SF2,PTHR46046
OR6C1,PTHR26454:SF27,PTHR26454
CDKN2D,PTHR24201:SF7,PTHR24201
PLCB1,PTHR10336:SF12,PTHR10336
OR11G2,PTHR24242:SF183,PTHR24242
DGCR6L,PTHR13054:SF6,PTHR13054
ATRN,PTHR46376:SF3,PTHR46376
TENM4,PTHR11219:SF9,PTHR11219
SULT1A2,PTHR11783:SF324,PTHR11783
C11orf96,PTHR40250:SF1,PTHR40250
ATP2A2,PTHR42861:SF18,PTHR42861
ZNF337,PTHR24381:SF22,PTHR24381
NUDCD2,PTHR12356:SF18,PTHR12356
TMEM52B,PTHR33955:SF1,PTHR33955
PMS1,PTHR10073:SF54,PTHR10073
GAB3,PTHR45960:SF3,PTHR45960
CEACAM18,PTHR44337:SF10,PTHR44337
PRCP,PTHR11010:SF38,PTHR11010
AGO4,PTHR22891:SF26,PTHR22891
SCLY,PTHR11601:SF62,PTHR11601
MYO19,PTHR13140:SF289,PTHR13140
TRAF3,PTHR10131:SF76,PTHR10131
GPR156,PTHR10519:SF63,PTHR10519
TEC,PTHR24418:SF219,PTHR24418
CEP57L1,PTHR19336:SF10,PTHR19336
SEC63,PTHR24075:SF0,PTHR24075
INTS11,PTHR11203:SF37,PTHR11203
SCAMP5,PTHR10687:SF5,PTHR10687
CCDC60,PTHR34754:SF1,PTHR34754
FURIN,PTHR42884:SF1,PTHR42884
TBC1D3I,PTHR22957:SF571,PTHR22957
SLC6A4,PTHR11616:SF105,PTHR11616
PRMT9,PTHR11006:SF60,PTHR11006
PRPH,PTHR45652:SF14,PTHR45652
ADA2,PTHR11409:SF39,PTHR11409
MAP2K5,PTHR48013:SF26,PTHR48013
PCNA,PTHR11352:SF5,PTHR11352
TRIP10,PTHR15735:SF17,PTHR15735
PNMA6E,PTHR23095:SF20,PTHR23095
NBPF4,PTHR14199:SF29,PTHR14199
ZDHHC8,PTHR12349:SF1,PTHR12349
MPHOSPH9,PTHR14926:SF1,PTHR14926
MYO1G,PTHR13140:SF381,PTHR13140
TAS2R1,PTHR11394:SF47,PTHR11394
CYB561D2,PTHR15422:SF21,PTHR15422
DDX47,PTHR24031:SF727,PTHR24031
CPAMD8,PTHR11412:SF139,PTHR11412
DLD,PTHR22912:SF151,PTHR22912
AFG1L,PTHR12169:SF6,PTHR12169
AKT2,PTHR24356:SF176,PTHR24356
CLIC6,PTHR45476:SF1,PTHR45476
SLC22A14,PTHR24064:SF48,PTHR24064
ZNF782,PTHR24376:SF207,PTHR24376
PSMA4,PTHR11599:SF13,PTHR11599
IRGQ,PTHR19364:SF2,PTHR19364
ZBTB21,PTHR24394:SF15,PTHR24394
L3HYPDH,PTHR33442:SF1,PTHR33442
AASS,PTHR11133:SF25,PTHR11133
ST3GAL1,PTHR46032:SF6,PTHR46032
DHX57,PTHR18934:SF256,PTHR18934
TMIGD2,PTHR12231:SF266,PTHR12231
HPN,PTHR24253:SF150,PTHR24253
ZNF692,PTHR24390:SF105,PTHR24390
UBL5,PTHR13042:SF3,PTHR13042
ZNF384,PTHR24376:SF130,PTHR24376
CASP14,PTHR10454:SF131,PTHR10454
SLC25A46,PTHR21252:SF2,PTHR21252
PARVB,PTHR12114:SF7,PTHR12114
EFL1,PTHR42908:SF3,PTHR42908
C2CD4B,PTHR47226:SF1,PTHR47226
NOTCH4,PTHR24044:SF489,PTHR24044
CTSK,PTHR12411:SF55,PTHR12411
C20orf202,PTHR32289:SF5,PTHR32289
KIAA0100,PTHR15678:SF6,PTHR15678
SPATA4,PTHR12509:SF8,PTHR12509
ZNF266,PTHR24381:SF149,PTHR24381
TNF,PTHR11471:SF23,PTHR11471
CCNJ,PTHR10177:SF62,PTHR10177
BIN2,PTHR46514:SF1,PTHR46514
TAMALIN,PTHR15963:SF3,PTHR15963
COX11,PTHR21320:SF3,PTHR21320
ZDHHC22,PTHR22883:SF213,PTHR22883
KRTAP12-1,PTHR23262:SF180,PTHR23262
SLX4,PTHR21541:SF3,PTHR21541
DNASE1L2,PTHR11371:SF29,PTHR11371
CETP,PTHR47616:SF1,PTHR47616
TMEM65,PTHR21706:SF15,PTHR21706
LRRTM3,PTHR24373:SF296,PTHR24373
TMEM240,PTHR28666:SF1,PTHR28666
ONECUT1,PTHR14057:SF9,PTHR14057
TROAP,PTHR15289:SF3,PTHR15289
DCLRE1C,PTHR23240:SF8,PTHR23240
SIGLEC1,PTHR47243:SF1,PTHR47243
FBXW4,PTHR14381:SF1,PTHR14381
TMA16,PTHR13349:SF2,PTHR13349
SIM1,PTHR23043:SF22,PTHR23043
FEZ1,PTHR12394:SF4,PTHR12394
CYP2A7,PTHR24300:SF297,PTHR24300
MAPT,PTHR11501:SF14,PTHR11501
WDR13,PTHR22838:SF4,PTHR22838
CBLN1,PTHR22923:SF5,PTHR22923
LRRTM1,PTHR24373:SF290,PTHR24373
CNNM4,PTHR12064:SF26,PTHR12064
TFPI2,PTHR10083:SF352,PTHR10083
FABP1,PTHR11955:SF96,PTHR11955
ALAD,PTHR11458:SF0,PTHR11458
SPRED3,PTHR11202:SF19,PTHR11202
JUNB,PTHR11462:SF37,PTHR11462
CASP2,PTHR10454:SF151,PTHR10454
CMTM6,PTHR22776:SF25,PTHR22776
TTC30A,PTHR20931:SF3,PTHR20931
KRTAP4-4,PTHR23262:SF201,PTHR23262
RDH12,PTHR24320:SF275,PTHR24320
LONP1,PTHR43718:SF2,PTHR43718
MMGT1,PTHR21181:SF7,PTHR21181
CFAP251,PTHR13720:SF13,PTHR13720
PWWP2B,PTHR23068:SF6,PTHR23068
DNMBP,PTHR22834:SF19,PTHR22834
SNAI2,PTHR24388:SF42,PTHR24388
PCDHGC4,PTHR24028:SF272,PTHR24028
CDH9,PTHR24027:SF99,PTHR24027
UBN1,PTHR21669:SF12,PTHR21669
SLC17A7,PTHR11662:SF29,PTHR11662
ZNF519,PTHR24384:SF235,PTHR24384
SH3PXD2A,PTHR15706:SF22,PTHR15706
GPN2,PTHR21231:SF3,PTHR21231
SORCS3,PTHR12106:SF10,PTHR12106
PIGB,PTHR22760:SF4,PTHR22760
MMP11,PTHR10201:SF20,PTHR10201
CDH10,PTHR24027:SF290,PTHR24027
TMEM154,PTHR36526:SF1,PTHR36526
NRM,PTHR31040:SF1,PTHR31040
ACTR3,PTHR11937:SF175,PTHR11937
FLYWCH2,PTHR31665:SF0,PTHR31665
NME4,PTHR11349:SF49,PTHR11349
URGCP,PTHR22796:SF13,PTHR22796
POLR2J2,PTHR13946:SF46,PTHR13946
BCAS2,PTHR13296:SF4,PTHR13296
TNS2,PTHR45734:SF1,PTHR45734
DHCR7,PTHR21257:SF38,PTHR21257
DDAH1,PTHR12737:SF17,PTHR12737
SDR9C7,PTHR43313:SF5,PTHR43313
COQ10B,PTHR12901:SF9,PTHR12901
SLC34A2,PTHR10010:SF23,PTHR10010
CLDND2,PTHR10671:SF30,PTHR10671
KRT6C,PTHR45616:SF47,PTHR45616
HP1BP3,PTHR15832:SF1,PTHR15832
M1AP,PTHR28642:SF1,PTHR28642
EXO1,PTHR11081:SF8,PTHR11081
PAGR1,PTHR28467:SF1,PTHR28467
OR5F1,PTHR26452:SF769,PTHR26452
SH3KBP1,PTHR14167:SF6,PTHR14167
TMX4,PTHR46107:SF1,PTHR46107
PIRT,PTHR16100:SF4,PTHR16100
FAR1,PTHR11011:SF45,PTHR11011
NELFA,PTHR13328:SF4,PTHR13328
F8,PTHR24543:SF320,PTHR24543
IGHG3,PTHR23411:SF39,PTHR23411
TYW3,PTHR23245:SF31,PTHR23245
TCL1B,PTHR14060:SF2,PTHR14060
HEATR6,PTHR13366:SF0,PTHR13366
PDE9A,PTHR11347:SF198,PTHR11347
TRAF4,PTHR10131:SF144,PTHR10131
COQ7,PTHR11237:SF4,PTHR11237
NPHS2,PTHR10264:SF127,PTHR10264
AMOTL1,PTHR14826:SF12,PTHR14826
LRRC20,PTHR16083:SF20,PTHR16083
RCC1,PTHR45982:SF1,PTHR45982
KIR2DL3,PTHR11738:SF168,PTHR11738
MMP16,PTHR10201:SF26,PTHR10201
SCML2,PTHR12247:SF84,PTHR12247
SH3BP4,PTHR15603:SF3,PTHR15603
TTC9,PTHR11242:SF15,PTHR11242
SLC4A11,PTHR11453:SF127,PTHR11453
ZFP3,PTHR24381:SF272,PTHR24381
NSD1,PTHR22884:SF312,PTHR22884
GAK,PTHR23172:SF34,PTHR23172
KIF1B,PTHR24115:SF328,PTHR24115
PACC1,PTHR16087:SF0,PTHR16087
OR2F2,PTHR26453:SF63,PTHR26453
CBR1,PTHR43963:SF2,PTHR43963
EIF4EBP3,PTHR12669:SF5,PTHR12669
CUL2,PTHR11932:SF126,PTHR11932
PCBD2,PTHR12599:SF15,PTHR12599
TOMM20L,PTHR12430:SF1,PTHR12430
STMP1,PTHR47709:SF2,PTHR47709
GCH1,PTHR11109:SF11,PTHR11109
P2RX7,PTHR10125:SF13,PTHR10125
MAN2A1,PTHR11607:SF3,PTHR11607
ERVW-1,PTHR10424:SF48,PTHR10424
KLF8,PTHR23235:SF46,PTHR23235
SAT2,PTHR10545:SF51,PTHR10545
CSTF2T,PTHR45735:SF3,PTHR45735
SURF6,PTHR14369:SF0,PTHR14369
PTGER3,PTHR11866:SF10,PTHR11866
EIF2A,PTHR13227:SF0,PTHR13227
MAGI1,PTHR10316:SF12,PTHR10316
GPHN,PTHR10192:SF5,PTHR10192
RAD9B,PTHR15237:SF2,PTHR15237
PAQR8,PTHR20855:SF22,PTHR20855
ZNF20,PTHR24381:SF136,PTHR24381
TFF2,PTHR13826:SF17,PTHR13826
PRMT3,PTHR11006:SF114,PTHR11006
CALM1,PTHR23050:SF510,PTHR23050
MAFA,PTHR10129:SF30,PTHR10129
FAM167B,PTHR32289:SF4,PTHR32289
TRAV1-2,PTHR19433:SF105,PTHR19433
UCP3,PTHR45618:SF2,PTHR45618
TRPC6,PTHR10117:SF7,PTHR10117
CORO7,PTHR10856:SF20,PTHR10856
ENO2,PTHR11902:SF10,PTHR11902
CTHRC1,PTHR11903:SF18,PTHR11903
CDNF,PTHR12990:SF9,PTHR12990
KIR3DP1,PTHR11738:SF113,PTHR11738
KIF17,PTHR24115:SF576,PTHR24115
RXFP4,PTHR24230:SF32,PTHR24230
HAMP,PTHR16877:SF0,PTHR16877
PRKG2,PTHR24353:SF24,PTHR24353
DCAF15,PTHR28541:SF1,PTHR28541
CAPNS2,PTHR46735:SF4,PTHR46735
ZNF502,PTHR24384:SF236,PTHR24384
NFRKB,PTHR13052:SF3,PTHR13052
CHCHD2,PTHR13523:SF3,PTHR13523
STRCP1,PTHR23412:SF14,PTHR23412
OR14J1,PTHR26452:SF42,PTHR26452
TMEM231,PTHR14605:SF1,PTHR14605
SP6,PTHR23235:SF23,PTHR23235
TEX30,PTHR13136:SF15,PTHR13136
SHANK2,PTHR24135:SF17,PTHR24135
SETD6,PTHR13271:SF131,PTHR13271
ATF5,PTHR13044:SF3,PTHR13044
TNFSF14,PTHR11471:SF34,PTHR11471
GLT6D1,PTHR10462:SF27,PTHR10462
ZNF705F,PTHR24381:SF303,PTHR24381
IGHV3-66,PTHR23266:SF384,PTHR23266
CCL16,PTHR12015:SF21,PTHR12015
SLC30A2,PTHR11562:SF51,PTHR11562
DCPS,PTHR12978:SF0,PTHR12978
RMC1,PTHR12897:SF4,PTHR12897
TIA1,PTHR10352:SF10,PTHR10352
CHAT,PTHR22589:SF14,PTHR22589
CAMK2N2,PTHR31007:SF1,PTHR31007
ARHGAP20,PTHR23179:SF28,PTHR23179
UBE2L6,PTHR24068:SF43,PTHR24068
MED13L,PTHR48249:SF1,PTHR48249
PIANP,PTHR32023:SF2,PTHR32023
SYNJ1,PTHR11200:SF158,PTHR11200
PET100,PTHR33968:SF1,PTHR33968
PRPSAP2,PTHR10210:SF29,PTHR10210
NPSR1,PTHR24244:SF2,PTHR24244
NMB,PTHR16866:SF3,PTHR16866
CTAGE6,PTHR23158:SF57,PTHR23158
FER,PTHR24418:SF227,PTHR24418
ZMYM2,PTHR45736:SF6,PTHR45736
LSM14B,PTHR13586:SF1,PTHR13586
CCNP,PTHR10177:SF257,PTHR10177
CCL11,PTHR12015:SF146,PTHR12015
ZNF510,PTHR24392:SF18,PTHR24392
RAB2A,PTHR47979:SF12,PTHR47979
SPPL2B,PTHR12174:SF39,PTHR12174
SSNA1,PTHR28661:SF1,PTHR28661
MAPK1,PTHR24055:SF569,PTHR24055
ABCA4,PTHR19229:SF190,PTHR19229
MRM3,PTHR43191:SF2,PTHR43191
GPX2,PTHR11592:SF36,PTHR11592
ZNF473,PTHR24376:SF93,PTHR24376
BRD2,PTHR45926:SF44,PTHR45926
CDC20,PTHR19918:SF3,PTHR19918
TMEM80,PTHR13531:SF8,PTHR13531
MYH4,PTHR45615:SF44,PTHR45615
CCDC157,PTHR43696:SF9,PTHR43696
CNKSR2,PTHR12844:SF21,PTHR12844
FAM189A1,PTHR17615:SF6,PTHR17615
CRYGD,PTHR11818:SF119,PTHR11818
GRIN2C,PTHR18966:SF361,PTHR18966
TMPO,PTHR12019:SF24,PTHR12019
COX10,PTHR43448:SF2,PTHR43448
DUX4L7,PTHR46123:SF3,PTHR46123
CYP4X1,PTHR24291:SF63,PTHR24291
NPS,PTHR36679:SF1,PTHR36679
RRP15,PTHR13245:SF14,PTHR13245
SLC25A41,PTHR24089:SF181,PTHR24089
ANKZF1,PTHR16036:SF2,PTHR16036
DNASE1L1,PTHR11371:SF28,PTHR11371
REV3L,PTHR45812:SF1,PTHR45812
LGALS13,PTHR11346:SF120,PTHR11346
SERPINB1,PTHR11461:SF180,PTHR11461
PGRMC1,PTHR10281:SF23,PTHR10281
PDCL3,PTHR45809:SF4,PTHR45809
HSP90B2P,PTHR11528:SF44,PTHR11528
ARRDC2,PTHR11188:SF48,PTHR11188
FAM86B1,PTHR14614:SF117,PTHR14614
PDZK1,PTHR14191:SF6,PTHR14191
BTBD10,PTHR21637:SF5,PTHR21637
XAF1,PTHR16295:SF17,PTHR16295
NPPA,PTHR14066:SF2,PTHR14066
MYOZ2,PTHR15941:SF9,PTHR15941
IGHV1-46,PTHR23266:SF322,PTHR23266
NUDCD3,PTHR12356:SF19,PTHR12356
GPR179,PTHR32546:SF7,PTHR32546
SLC25A39,PTHR45760:SF1,PTHR45760
ACBD5,PTHR23310:SF6,PTHR23310
UBE3C,PTHR45700:SF2,PTHR45700
ARSG,PTHR42693:SF33,PTHR42693
RBFOX2,PTHR15597:SF31,PTHR15597
KCNJ18,PTHR11767:SF14,PTHR11767
OSER1,PTHR31383:SF2,PTHR31383
CD69,PTHR45710:SF8,PTHR45710
MAP4K3,PTHR48012:SF17,PTHR48012
SSR4,PTHR12731:SF1,PTHR12731
SAPCD2,PTHR14907:SF3,PTHR14907
INAVA,PTHR16093:SF4,PTHR16093
PSMG4,PTHR33559:SF1,PTHR33559
NDUFB9,PTHR12868:SF1,PTHR12868
KRTAP9-7,PTHR23262:SF133,PTHR23262
MAOA,PTHR43563:SF11,PTHR43563
MRTFB,PTHR22793:SF5,PTHR22793
ADCY10,PTHR16305:SF32,PTHR16305
SCYL1,PTHR12984:SF3,PTHR12984
TAF8,PTHR46469:SF1,PTHR46469
PTPRN2,PTHR46106:SF5,PTHR46106
MRS2,PTHR13890:SF0,PTHR13890
ZFP1,PTHR24377:SF248,PTHR24377
ZNF772,PTHR24377:SF610,PTHR24377
PELO,PTHR10853:SF0,PTHR10853
TRIM51GP,PTHR24103:SF649,PTHR24103
DMGDH,PTHR13847:SF187,PTHR13847
KPNA7,PTHR23316:SF11,PTHR23316
CDYL,PTHR43684:SF5,PTHR43684
CTSA,PTHR11802:SF113,PTHR11802
SIGLEC15,PTHR46942:SF1,PTHR46942
FAM171A2,PTHR31626:SF3,PTHR31626
MTOR,PTHR11139:SF9,PTHR11139
OAZ2,PTHR10279:SF6,PTHR10279
KRTAP19-1,PTHR38140:SF6,PTHR38140
SIGLEC6,PTHR12035:SF129,PTHR12035
TAF9,PTHR48068:SF3,PTHR48068
MSTO1,PTHR13391:SF0,PTHR13391
MOSMO,PTHR31186:SF1,PTHR31186
EME2,PTHR21077:SF6,PTHR21077
ADAM32,PTHR11905:SF24,PTHR11905
P4HA3,PTHR10869:SF223,PTHR10869
PGPEP1L,PTHR23402:SF15,PTHR23402
FCHO2,PTHR23065:SF8,PTHR23065
TMEM30A,PTHR10926:SF17,PTHR10926
AHR,PTHR10649:SF9,PTHR10649
PROSER3,PTHR22045:SF6,PTHR22045
DGKK,PTHR11255:SF33,PTHR11255
COLEC12,PTHR24023:SF910,PTHR24023
MSX2,PTHR24338:SF10,PTHR24338
RAC2,PTHR24072:SF169,PTHR24072
NTRK2,PTHR24416:SF136,PTHR24416
H3-5,PTHR11426:SF228,PTHR11426
BSN,PTHR14113:SF1,PTHR14113
FGD2,PTHR12673:SF82,PTHR12673
TMEM120A,PTHR21433:SF1,PTHR21433
PAX3,PTHR45636:SF17,PTHR45636
FRK,PTHR24418:SF373,PTHR24418
RPL14,PTHR11127:SF4,PTHR11127
EPHB2,PTHR46877:SF11,PTHR46877
TRBV11-2,PTHR23268:SF118,PTHR23268
LEAP2,PTHR21007:SF1,PTHR21007
CPEB3,PTHR12566:SF7,PTHR12566
ANKRD13B,PTHR12447:SF3,PTHR12447
ADCYAP1R1,PTHR45620:SF12,PTHR45620
KRTAP9-4,PTHR23262:SF32,PTHR23262
TRAPPC2L,PTHR12403:SF23,PTHR12403
CCDC120,PTHR16093:SF5,PTHR16093
BTNL9,PTHR24100:SF116,PTHR24100
JAKMIP1,PTHR18935:SF6,PTHR18935
CHRAC1,PTHR10252:SF54,PTHR10252
PSIP1,PTHR12550:SF42,PTHR12550
WDR86,PTHR44489:SF19,PTHR44489
OR9K2,PTHR26452:SF318,PTHR26452
METAP1D,PTHR43330:SF8,PTHR43330
KBTBD12,PTHR24412:SF459,PTHR24412
IGLC1,PTHR23266:SF310,PTHR23266
SHOC1,PTHR35668:SF1,PTHR35668
CUSTOS,PTHR14482:SF0,PTHR14482
NUP42,PTHR46527:SF1,PTHR46527
GARNL3,PTHR15711:SF62,PTHR15711
SSR3,PTHR13399:SF2,PTHR13399
VPS13B,PTHR12517:SF0,PTHR12517
SWSAP1,PTHR28653:SF1,PTHR28653
NAP1L2,PTHR11875:SF36,PTHR11875
RPF2,PTHR12728:SF0,PTHR12728
HCST,PTHR21409:SF1,PTHR21409
METTL4,PTHR12829:SF4,PTHR12829
FBXO10,PTHR22990:SF15,PTHR22990
ZNF518B,PTHR24392:SF41,PTHR24392
NAT2,PTHR11786:SF6,PTHR11786
ELAPOR1,PTHR22727:SF13,PTHR22727
PDXP,PTHR19288:SF94,PTHR19288
SSTR4,PTHR24229:SF35,PTHR24229
POC1B,PTHR44019:SF1,PTHR44019
HAL,PTHR10362:SF7,PTHR10362
HDLBP,PTHR10627:SF34,PTHR10627
SUMO2,PTHR10562:SF125,PTHR10562
CYP21A2,PTHR24281:SF155,PTHR24281
NDUFB10,PTHR13094:SF1,PTHR13094
TGFB1I1,PTHR24216:SF27,PTHR24216
FOSL2,PTHR23351:SF25,PTHR23351
GALNT2,PTHR11675:SF49,PTHR11675
ADSS2,PTHR11846:SF13,PTHR11846
CHCHD2P9,PTHR13523:SF3,PTHR13523
GEMIN2,PTHR12794:SF6,PTHR12794
CSTF3,PTHR19980:SF0,PTHR19980
MYL6,PTHR23048:SF43,PTHR23048
SF3A1,PTHR15316:SF1,PTHR15316
CYB5D1,PTHR21281:SF0,PTHR21281
PGAP1,PTHR15495:SF7,PTHR15495
KRT79,PTHR45616:SF10,PTHR45616
PCDHGC5,PTHR24028:SF312,PTHR24028
RBMXL2,PTHR13952:SF11,PTHR13952
NIPAL1,PTHR12570:SF13,PTHR12570
ISCA1,PTHR10072:SF41,PTHR10072
GALP,PTHR20950:SF1,PTHR20950
ATOH1,PTHR19290:SF82,PTHR19290
ALKBH2,PTHR31573:SF1,PTHR31573
ADAMTSL1,PTHR13723:SF157,PTHR13723
GULP1,PTHR11232:SF78,PTHR11232
ISL2,PTHR24204:SF2,PTHR24204
OR2L13,PTHR26453:SF102,PTHR26453
OTUD7A,PTHR13367:SF9,PTHR13367
CYB5R3,PTHR19370:SF121,PTHR19370
PIMREG,PTHR35819:SF1,PTHR35819
PTAR1,PTHR11129:SF3,PTHR11129
ERAS,PTHR24070:SF369,PTHR24070
SETDB2,PTHR46024:SF3,PTHR46024
PLEKHA3,PTHR22902:SF51,PTHR22902
NUB1,PTHR12948:SF3,PTHR12948
ZNF721,PTHR24376:SF210,PTHR24376
OR10H2,PTHR26453:SF712,PTHR26453
KISS1R,PTHR24230:SF78,PTHR24230
CTSC,PTHR12411:SF942,PTHR12411
ZNF644,PTHR24396:SF25,PTHR24396
EBF4,PTHR10747:SF36,PTHR10747
MCCC1,PTHR18866:SF33,PTHR18866
MPHOSPH10,PTHR17039:SF0,PTHR17039
RBP5,PTHR11955:SF74,PTHR11955
REEP3,PTHR12300:SF39,PTHR12300
APOBEC3F,PTHR13857:SF45,PTHR13857
LGR6,PTHR45836:SF22,PTHR45836
OR9A1P,PTHR24242:SF126,PTHR24242
ZBED9,PTHR45935:SF15,PTHR45935
MTRNR2L13,PTHR33895:SF17,PTHR33895
FKBP10,PTHR46046:SF3,PTHR46046
CRISPLD1,PTHR10334:SF73,PTHR10334
SPSB4,PTHR12245:SF3,PTHR12245
TFDP1,PTHR12548:SF4,PTHR12548
NSD3,PTHR22884:SF473,PTHR22884
MS4A7,PTHR23320:SF8,PTHR23320
OGFR,PTHR14015:SF1,PTHR14015
NPNT,PTHR24050:SF19,PTHR24050
COX6A2,PTHR11504:SF1,PTHR11504
INPP4B,PTHR12187:SF3,PTHR12187
CD96,PTHR15317:SF1,PTHR15317
SLC26A8,PTHR11814:SF11,PTHR11814
PRF1,PTHR46096:SF3,PTHR46096
HIC1,PTHR24394:SF16,PTHR24394
UPF1,PTHR10887:SF364,PTHR10887
ADCK5,PTHR43173:SF28,PTHR43173
DUSP29,PTHR45682:SF6,PTHR45682
RNF216,PTHR22770:SF47,PTHR22770
NUP98,PTHR23198:SF6,PTHR23198
MELTF,PTHR11485:SF21,PTHR11485
GAREM2,PTHR14454:SF5,PTHR14454
DISC1,PTHR14332:SF3,PTHR14332
DUSP11,PTHR10367:SF18,PTHR10367
LRP6,PTHR46513:SF40,PTHR46513
CENPJ,PTHR10331:SF23,PTHR10331
OR1Q1,PTHR48001:SF56,PTHR48001
VCPKMT,PTHR14614:SF158,PTHR14614
TMEM262,PTHR37998:SF1,PTHR37998
ADAT1,PTHR46516:SF1,PTHR46516
SMIM10L1,PTHR34446:SF5,PTHR34446
GPR139,PTHR46272:SF3,PTHR46272
BMPR1B,PTHR23255:SF62,PTHR23255
USP17L3,PTHR24006:SF926,PTHR24006
ANO4,PTHR12308:SF28,PTHR12308
BSPRY,PTHR24103:SF568,PTHR24103
BHLHA15,PTHR19290:SF160,PTHR19290
PKD1,PTHR46730:SF3,PTHR46730
GOLGA6L6,PTHR23143:SF23,PTHR23143
MUC20,PTHR37358:SF1,PTHR37358
OVCA2,PTHR48070:SF6,PTHR48070
ASCL3,PTHR13935:SF68,PTHR13935
CPLX2,PTHR16705:SF9,PTHR16705
OR10Q1,PTHR26452:SF253,PTHR26452
PTPN5,PTHR46198:SF1,PTHR46198
PEF1,PTHR46212:SF3,PTHR46212
RFT1,PTHR13117:SF5,PTHR13117
RIPOR1,PTHR15829:SF1,PTHR15829
TRBV6-9,PTHR23268:SF86,PTHR23268
ENG,PTHR14002:SF1,PTHR14002
PLS1,PTHR19961:SF27,PTHR19961
KRTAP4-7,PTHR23262:SF183,PTHR23262
AARSD1,PTHR43462:SF1,PTHR43462
SLCO6A1,PTHR11388:SF95,PTHR11388
C4BPA,PTHR19325:SF551,PTHR19325
ERCC2,PTHR11472:SF1,PTHR11472
CASKIN2,PTHR24174:SF18,PTHR24174
RPL9P9,PTHR11655:SF46,PTHR11655
ADGRE1,PTHR12011:SF449,PTHR12011
PRKAR2B,PTHR11635:SF156,PTHR11635
ASB13,PTHR24173:SF44,PTHR24173
EIF3I,PTHR19877:SF1,PTHR19877
CD8B,PTHR11292:SF7,PTHR11292
CYP2J2,PTHR24300:SF177,PTHR24300
MBOAT4,PTHR13906:SF3,PTHR13906
DGUOK,PTHR10513:SF8,PTHR10513
TSFM,PTHR11741:SF0,PTHR11741
DYNLT3,PTHR21255:SF20,PTHR21255
MACROH2A1,PTHR23430:SF20,PTHR23430
TAC4,PTHR11250:SF2,PTHR11250
ZNF830,PTHR13278:SF0,PTHR13278
CA3,PTHR18952:SF127,PTHR18952
YPEL1,PTHR13848:SF1,PTHR13848
LIAS,PTHR10949:SF0,PTHR10949
UGT2A2,PTHR48043:SF129,PTHR48043
CDIN1,PTHR31661:SF1,PTHR31661
CAGE1,PTHR36864:SF1,PTHR36864
ST6GAL2,PTHR46059:SF3,PTHR46059
SYNGR4,PTHR10838:SF22,PTHR10838
FABP5,PTHR11955:SF58,PTHR11955
FAM181B,PTHR33766:SF2,PTHR33766
